コード,銘柄名,主市場,貸借区分,1日,14日,無期限,売建可能数量,特別空売り料,T,現在値,前日比,当日株価変動率,日中出来高増減率,ティック数,出来高,直近高値騰落率,逆日歩,直近優待月
8766,東京海上ＨＤ,東証,貸借,○,×,○,"99,900",-,▼,"2,655.50",-37.5,0.39%,-,"6,311","4,307,400",-3.80%,-,
4568,第一三共,東証,貸借,○,×,○,"40,600",-,▼,"4,061.00",21,0.51%,-,"6,296","3,942,500",-0.99%,-,
2395,新日本科学,東証,貸借,○,×,○,"5,000",-,▲,"2,498.00",113,4.78%,-,"6,287","2,060,700",-0.04%,-,
4452,花王,東証,貸借,○,×,○,"60,000",-,▼,"5,137.00",-9,2.69%,-,"5,888","2,678,700",-2.70%,-,
2768,双日,東証,貸借,○,×,○,"135,300",-,▲,"2,462.00",-43,-1.91%,-,"5,789","3,733,200",-5.95%,-,
4523,エーザイ,東証,貸借,○,×,○,"51,800",-,▼,"7,869.00",-66,-0.83%,-,"5,741","1,282,300",-2.21%,-,
4091,日本酸素ＨＬＤＧＳ,東証,貸借,○,×,○,"5,800",-,▲,"2,254.00",158,-0.70%,-,"5,730","2,632,800",-2.21%,-,
9432,日本電信電話,東証,貸借,○,×,×,0,-,▼,"3,830.00",-14,-0.26%,-,"5,655","5,650,300",-2.14%,-,3月29日
4519,中外製薬,東証,貸借,○,×,○,"17,900",-,▼,"3,377.00",81,2.45%,-,"5,582","3,456,800",-1.48%,-,
9104,商船三井,東証,貸借,○,×,×,0,-,▲,"3,295.00",30,0.15%,-,"5,552","9,589,600",-0.90%,-,3月29日
6594,日本電産,東証,貸借,○,×,×,0,-,▼,"7,245.00",69,0.61%,-,"5,511","1,916,300",-0.73%,-,3月29日
8801,三井不動産,東証,貸借,○,×,○,"22,900",-,▲,"2,377.50",-24.5,-0.66%,-,"5,406","2,578,500",-3.43%,-,
5713,住友鉱山,東証,貸借,○,×,○,"28,100",-,▼,"5,112.00",-93,-0.54%,-,"5,231","1,861,100",-4.03%,-,
2802,味の素,東証,貸借,○,×,×,"14,300",-,▼,"3,997.00",64,2.51%,-,"5,095","2,394,400",-6.80%,-,3月29日
1605,ＩＮＰＥＸ,東証,貸借,○,×,○,"320,100",-,▲,"1,373.00",-37,-0.50%,-,"5,051","8,355,300",-4.85%,-,6月28日
9219,ギックス,東証,貸借,○,×,×,0,-,▲,"1,991.00",131,5.90%,-,"4,938","1,106,300",-0.94%,-,
3407,旭化成,東証,貸借,○,×,○,"49,900",-,▼,964.1,-2.5,0.38%,-,"4,933","2,849,500",-2.70%,-,
8591,オリックス,東証,貸借,○,×,×,"18,300",-,▼,"2,250.00",1,0.51%,-,"4,885","3,163,000",-2.11%,-,3月29日
9020,東日本旅客鉄道,東証,貸借,○,×,×,"20,900",-,▼,"6,901.00",-18,-0.04%,-,"4,869","1,629,400",-4.24%,-,3月29日
7974,任天堂,東証,貸借,○,×,○,"161,300",-,▼,"5,622.00",40,0.24%,-,"4,854","3,281,200",-0.08%,-,
1360,日経平均ベア２倍,東証,貸借,○,×,×,"115,110",-,▼,852,-6.6,-0.31%,-,"4,601","11,510,770",-1.41%,-,
7751,キヤノン,東証,貸借,○,×,○,"163,400",-,▼,"2,884.00",35,0.78%,-,"4,568","3,667,800",-0.67%,-,
8267,イオン,東証,貸借,○,×,○,"17,300",-,▼,"2,595.50",-47,-1.48%,-,"4,481","2,100,600",-2.86%,-,2月24日
4507,塩野義製薬,東証,貸借,○,×,○,"64,900",-,▲,"6,207.00",14,0.24%,-,"4,419","1,565,700",-0.75%,-,
3436,ＳＵＭＣＯ,東証,貸借,○,×,○,"167,500",-,▲,"1,979.00",0,-1.54%,-,"4,335","4,735,100",-1.64%,-,
5802,住友電工,東証,貸借,○,×,○,"20,200",-,▼,"1,585.00",33,0.28%,-,"4,321","3,389,400",-0.59%,-,
4062,イビデン,東証,貸借,○,×,○,"7,200",-,▲,"5,160.00",-90,1.57%,-,"4,237","3,341,600",-3.00%,-,
9434,ソフトバンク,東証,貸借,○,×,○,"370,300",-,▼,"1,475.00",0.5,0.30%,-,"4,221","7,175,600",-1.13%,-,
5410,合同製鐵,東証,貸借,○,×,○,"6,500",-,▼,"2,883.00",-137,-3.80%,-,"4,215","1,031,400",-6.09%,-,
4183,三井化学,東証,貸借,○,×,○,"7,900",-,▲,"3,060.00",90,3.69%,-,"4,205","2,092,200",-0.64%,-,
3402,東レ,東証,貸借,○,×,○,"57,200",-,▼,774.3,-0.9,0.16%,-,"4,168","3,165,400",-3.51%,-,
8630,ＳＯＭＰＯホールディングス,東証,貸借,○,×,○,"11,500",-,▼,"5,451.00",-12,1.31%,-,"4,129","1,158,800",-3.50%,-,
7741,ＨＯＹＡ,東証,貸借,○,×,○,0,-,▲,"14,245.00",510,1.75%,-,"4,090","1,330,700",-0.97%,-,
